MB_CODE_2021,LGA_CODE_2022,LGA_NAME_2022,STATE_CODE_2021,STATE_NAME_2021,AUS_CODE_2021,AUS_NAME_2021,AREA_ALBERS_SQKM,ASGS_LOCI_URI_2021
20081690000,21180,Brimbank,2,Victoria,AUS,Australia,0.0617,https://linked.data.gov.au/dataset/asgsed3/MB/20081690000
20699710000,21180,Brimbank,2,Victoria,AUS,Australia,0.0296,https://linked.data.gov.au/dataset/asgsed3/MB/20699710000
20081684000,21180,Brimbank,2,Victoria,AUS,Australia,0.0068,https://linked.data.gov.au/dataset/asgsed3/MB/20081684000
20699720000,21180,Brimbank,2,Victoria,AUS,Australia,0.0258,https://linked.data.gov.au/dataset/asgsed3/MB/20699720000
20081682000,21180,Brimbank,2,Victoria,AUS,Australia,0.0249,https://linked.data.gov.au/dataset/asgsed3/MB/20081682000
20699750000,21180,Brimbank,2,Victoria,AUS,Australia,0.0394,https://linked.data.gov.au/dataset/asgsed3/MB/20699750000
20081681000,21180,Brimbank,2,Victoria,AUS,Australia,0.0095,https://linked.data.gov.au/dataset/asgsed3/MB/20081681000
20699760000,21180,Brimbank,2,Victoria,AUS,Australia,0.0701,https://linked.data.gov.au/dataset/asgsed3/MB/20699760000
20079480000,21180,Brimbank,2,Victoria,AUS,Australia,0.0315,https://linked.data.gov.au/dataset/asgsed3/MB/20079480000
20699770000,21180,Brimbank,2,Victoria,AUS,Australia,0.0994,https://linked.data.gov.au/dataset/asgsed3/MB/20699770000
20079472000,21180,Brimbank,2,Victoria,AUS,Australia,0.0225,https://linked.data.gov.au/dataset/asgsed3/MB/20079472000
20091314000,21180,Brimbank,2,Victoria,AUS,Australia,0.0184,https://linked.data.gov.au/dataset/asgsed3/MB/20091314000
20079471000,21180,Brimbank,2,Victoria,AUS,Australia,0.0253,https://linked.data.gov.au/dataset/asgsed3/MB/20079471000
20081683000,21180,Brimbank,2,Victoria,AUS,Australia,0.009,https://linked.data.gov.au/dataset/asgsed3/MB/20081683000
20079460000,21180,Brimbank,2,Victoria,AUS,Australia,0.0341,https://linked.data.gov.au/dataset/asgsed3/MB/20079460000
20631916160,21180,Brimbank,2,Victoria,AUS,Australia,0.0335,https://linked.data.gov.au/dataset/asgsed3/MB/20631916160
20079450000,21180,Brimbank,2,Victoria,AUS,Australia,0.0346,https://linked.data.gov.au/dataset/asgsed3/MB/20079450000
20091550000,21180,Brimbank,2,Victoria,AUS,Australia,0.0376,https://linked.data.gov.au/dataset/asgsed3/MB/20091550000
20079442000,21180,Brimbank,2,Victoria,AUS,Australia,0.0141,https://linked.data.gov.au/dataset/asgsed3/MB/20079442000
20090750000,21180,Brimbank,2,Victoria,AUS,Australia,0.0479,https://linked.data.gov.au/dataset/asgsed3/MB/20090750000
20079441000,21180,Brimbank,2,Victoria,AUS,Australia,0.029,https://linked.data.gov.au/dataset/asgsed3/MB/20079441000
20085500000,21180,Brimbank,2,Victoria,AUS,Australia,0.0403,https://linked.data.gov.au/dataset/asgsed3/MB/20085500000
20079430000,21180,Brimbank,2,Victoria,AUS,Australia,0.0218,https://linked.data.gov.au/dataset/asgsed3/MB/20079430000
20085860000,21180,Brimbank,2,Victoria,AUS,Australia,0.0347,https://linked.data.gov.au/dataset/asgsed3/MB/20085860000
20079420000,21180,Brimbank,2,Victoria,AUS,Australia,0.0491,https://linked.data.gov.au/dataset/asgsed3/MB/20079420000
20085880000,21180,Brimbank,2,Victoria,AUS,Australia,0.0265,https://linked.data.gov.au/dataset/asgsed3/MB/20085880000
20079410000,21180,Brimbank,2,Victoria,AUS,Australia,0.0234,https://linked.data.gov.au/dataset/asgsed3/MB/20079410000
20631945190,21180,Brimbank,2,Victoria,AUS,Australia,0.0304,https://linked.data.gov.au/dataset/asgsed3/MB/20631945190
20079400000,21180,Brimbank,2,Victoria,AUS,Australia,0.0161,https://linked.data.gov.au/dataset/asgsed3/MB/20079400000
20631905300,21180,Brimbank,2,Victoria,AUS,Australia,0.0311,https://linked.data.gov.au/dataset/asgsed3/MB/20631905300
20079390000,21180,Brimbank,2,Victoria,AUS,Australia,0.0259,https://linked.data.gov.au/dataset/asgsed3/MB/20079390000
20631957480,21180,Brimbank,2,Victoria,AUS,Australia,0.0463,https://linked.data.gov.au/dataset/asgsed3/MB/20631957480
20079380000,21180,Brimbank,2,Victoria,AUS,Australia,0.0287,https://linked.data.gov.au/dataset/asgsed3/MB/20079380000
20700090000,21180,Brimbank,2,Victoria,AUS,Australia,0.0162,https://linked.data.gov.au/dataset/asgsed3/MB/20700090000
20079370000,21180,Brimbank,2,Victoria,AUS,Australia,0.0245,https://linked.data.gov.au/dataset/asgsed3/MB/20079370000
20700100000,21180,Brimbank,2,Victoria,AUS,Australia,0.0062,https://linked.data.gov.au/dataset/asgsed3/MB/20700100000
20079360000,21180,Brimbank,2,Victoria,AUS,Australia,0.0205,https://linked.data.gov.au/dataset/asgsed3/MB/20079360000
20700110000,21180,Brimbank,2,Victoria,AUS,Australia,0.0071,https://linked.data.gov.au/dataset/asgsed3/MB/20700110000
20077100000,21180,Brimbank,2,Victoria,AUS,Australia,0.0434,https://linked.data.gov.au/dataset/asgsed3/MB/20077100000
20631933230,21180,Brimbank,2,Victoria,AUS,Australia,0.0475,https://linked.data.gov.au/dataset/asgsed3/MB/20631933230
20077090000,21180,Brimbank,2,Victoria,AUS,Australia,0.0526,https://linked.data.gov.au/dataset/asgsed3/MB/20077090000
20631990090,21180,Brimbank,2,Victoria,AUS,Australia,0.037,https://linked.data.gov.au/dataset/asgsed3/MB/20631990090
20077080000,21180,Brimbank,2,Victoria,AUS,Australia,0.0221,https://linked.data.gov.au/dataset/asgsed3/MB/20077080000
20092271000,21180,Brimbank,2,Victoria,AUS,Australia,0.5392,https://linked.data.gov.au/dataset/asgsed3/MB/20092271000
