LPHU,Postcode,Population,SEIFA
Goulburn Valley,3718,58,8
Goulburn Valley,3717,3513,4
Goulburn Valley,3715,326,5
Goulburn Valley,3714,3745,4
Goulburn Valley,3713,1053,2
Goulburn Valley,3712,331,3
Goulburn Valley,3711,522,6
Goulburn Valley,3678,6573,8
Goulburn Valley,3675,1915,6
Goulburn Valley,3673,1837,6
Goulburn Valley,3672,10818,1
Goulburn Valley,3670,571,4
Goulburn Valley,3669,1468,3
Goulburn Valley,3666,5162,3
Goulburn Valley,3665,364,6
Goulburn Valley,3664,1106,5
Goulburn Valley,3663,116,7
Goulburn Valley,3662,1118,10
Goulburn Valley,3660,7840,1
Goulburn Valley,3659,682,6
Goulburn Valley,3658,6274,3
Goulburn Valley,3649,453,2
Goulburn Valley,3647,38,8
Goulburn Valley,3646,582,4
Goulburn Valley,3644,,2
Goulburn Valley,3641,1301,2
Goulburn Valley,3640,995,4
Goulburn Valley,3639,417,1
Goulburn Valley,3638,2186,3
Goulburn Valley,3637,689,5
Goulburn Valley,3636,5380,2
Goulburn Valley,3635,518,3
Goulburn Valley,3634,1925,7
Goulburn Valley,3633,613,6
Goulburn Valley,3631,14588,8
Goulburn Valley,3630,32140,1
Goulburn Valley,3629,9546,1
Goulburn Valley,3620,8342,3
Goulburn Valley,3618,618,2
Goulburn Valley,3617,109,5
Goulburn Valley,3616,5585,3
Goulburn Valley,3614,926,8
Goulburn Valley,3612,1772,1
Goulburn Valley,3610,1546,3
Goulburn Valley,3608,2834,3
Goulburn Valley,3607,111,7
Goulburn Valley,3523,3978,1
Goulburn Valley,3522,294,6
Goulburn Valley,3521,788,5
Goulburn Valley,3444,10081,5
Goulburn Valley,3435,3197,7
Gippsland,3996,6646,6
Gippsland,3995,11612,1
Gippsland,3992,1287,4
Gippsland,3991,353,2
Gippsland,3990,66,4
Gippsland,3988,1054,4
Gippsland,3987,1648,5
Gippsland,3984,7402,2
Gippsland,3981,5450,5
Gippsland,3979,328,8
Gippsland,3971,4182,2
Gippsland,3967,51,3
Gippsland,3966,517,2
Gippsland,3965,178,2
Gippsland,3964,122,5
Gippsland,3962,976,2
Gippsland,3960,2679,4
Gippsland,3959,1186,7
Gippsland,3958,258,8
Gippsland,3957,267,7
Gippsland,3956,3090,4
Gippsland,3954,364,9
Gippsland,3953,8140,4
Gippsland,3951,1026,7
Gippsland,3950,5118,2
Gippsland,3946,244,7
Gippsland,3945,1113,7
Gippsland,3925,4550,6
Gippsland,3923,798,6
Gippsland,3922,10102,3
Gippsland,3909,8718,2
Gippsland,3904,1881,6
Gippsland,3903,821,3
Gippsland,3902,391,2
Gippsland,3900,126,3
Gippsland,3898,672,4
Gippsland,3896,296,3
Gippsland,3895,131,3
Gippsland,3893,5,3
Gippsland,3892,1213,2
Gippsland,3891,76,6
Gippsland,3890,292,1
Gippsland,3889,120,1
Gippsland,3888,3526,1
Gippsland,3887,193,1
Gippsland,3886,383,3
Gippsland,3885,1891,3
Gippsland,3882,1340,4
Gippsland,3880,4192,4
Gippsland,3878,1288,4
Gippsland,3875,20042,3
Gippsland,3874,586,2
Gippsland,3873,269,6
Gippsland,3871,3046,5
Gippsland,3870,1283,5
Gippsland,3869,1705,5
Gippsland,3865,493,4
Gippsland,3864,166,4
Gippsland,3862,3498,5
Gippsland,3860,7401,4
Gippsland,3859,930,6
Gippsland,3858,3093,2
Gippsland,3857,334,6
Gippsland,3856,1072,5
Gippsland,3854,1477,7
Gippsland,3852,186,8
Gippsland,3851,6269,4
Gippsland,3850,15449,3
Gippsland,3847,2272,4
Gippsland,3844,31192,4
Gippsland,3842,4952,1
Gippsland,3840,17228,1
Gippsland,3835,415,4
Gippsland,3833,292,3
Gippsland,3832,196,6
Gippsland,3831,2012,6
